arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
sample_factory/cfg/arguments.py,funcao,cfg_dict,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/arguments.py,funcao,cfg_str,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/arguments.py,funcao,default_cfg,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/arguments.py,funcao,load_from_checkpoint,5,10,7,12,15,19,44.8289,74.2309,3.0,222.6928,12.3718,0.0247
sample_factory/cfg/arguments.py,funcao,maybe_load_from_checkpoint,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/cfg/arguments.py,funcao,checkpoint_override_defaults,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/cfg/cfg.py,funcao,add_basic_cli_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_system_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_regime_args,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/cfg/cfg.py,funcao,_add_rl_basic_params,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_loss_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_policy_gradient_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_optimization_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_learning_rate_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_observation_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_decorrelation_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_performance_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_logging_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_termination_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,_add_rl_checkpoint_args,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/cfg/cfg.py,funcao,_add_rl_debug_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,add_rl_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,add_model_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,add_default_env_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,add_eval_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,add_wandb_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/cfg.py,funcao,add_pbt_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/cfg/configurable.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/create_env.py,funcao,create_env,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
sample_factory/envs/env_utils.py,funcao,register_env,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
